industry,level,level,line_code,value
Financial & insurance services,1,2,D1704,3
Finance,2,3,D1704,0
Insurance,2,3,D1704,0
Auxiliary,2,3,D1704,6
"Rental, hiring, & real estate services",1,2,D1704,0
"Professional, scientific, & technical services",1,2,D1704,0
Computer systems design,2,3,D1704,0
Other professional scientific,2,3,D1704,0
Administrative & support services,1,2,D1704,0
Education & training,1,2,D1704,0
Health care & social assistance,1,2,D1704,0
Arts & recreation services,1,2,D1704,0
Other services,1,2,D1704,0
total,0,1,D1704,39
total,0,1,D1705,21
total,0,1,D1705,0
total,0,1,D1705,0
total,0,1,D1705,3
"Agriculture, forestry, & fishing",1,2,D1705,0
Agriculture,2,3,D1705,0
Commercial fishing,2,3,D1705,0
Forestry & logging,2,3,D1705,0
"Agriculture, forestry, & fishing support services",2,3,D1705,0
Mining,1,2,D1705,0
Manufacturing,1,2,D1705,0
"Food, beverage, & tobacco",2,3,D1705,0
"Textile, clothing, footwear, & leather",2,3,D1705,0
Wood & paper product,2,3,D1705,0
"Printing, publishing, & recorded media",2,3,D1705,0
"Petroleum, coal, chemical, & associated product",2,3,D1705,0
Non-metallic mineral product,2,3,D1705,0
Metal product,2,3,D1705,0
Transport and industrial machinery & equipment,2,3,D1705,0
Other machinery & equipment,2,3,D1705,0
Other manufacturing,2,3,D1705,0
"Electricity, gas, water, & waste services",1,2,D1705,3
Construction,1,2,D1705,0
Wholesale trade,1,2,D1705,0
Machinery & equipment wholesaling,2,3,D1705,0
Other wholesale trade,2,3,D1705,0
Retail trade,1,2,D1705,0
Accommodation & food services,1,2,D1705,3
"Transport, postal, & warehousing",1,2,D1705,18
Information media & telecommunications,1,2,D1705,3
Publishing,2,3,D1705,0
Motion picture,2,3,D1705,0
Telecommunications,2,3,D1705,0
Financial & insurance services,1,2,D1705,0
Finance,2,3,D1705,0
Insurance,2,3,D1705,0
Auxiliary,2,3,D1705,0
"Rental, hiring, & real estate services",1,2,D1705,0
"Professional, scientific, & technical services",1,2,D1705,0
Computer systems design,2,3,D1705,0
Other professional scientific,2,3,D1705,0
Administrative & support services,1,2,D1705,0
Education & training,1,2,D1705,0
Health care & social assistance,1,2,D1705,0
Arts & recreation services,1,2,D1705,0
Other services,1,2,D1705,0
total,0,1,D1705,27
total,0,1,D1706,75
total,0,1,D1706,0
total,0,1,D1706,0
total,0,1,D1706,3
"Agriculture, forestry, & fishing",1,2,D1706,0
Agriculture,2,3,D1706,0
Commercial fishing,2,3,D1706,0
Forestry & logging,2,3,D1706,0
"Agriculture, forestry, & fishing support services",2,3,D1706,0
Mining,1,2,D1706,0
Manufacturing,1,2,D1706,21
"Food, beverage, & tobacco",2,3,D1706,9
"Textile, clothing, footwear, & leather",2,3,D1706,0
Wood & paper product,2,3,D1706,9
"Printing, publishing, & recorded media",2,3,D1706,0
"Petroleum, coal, chemical, & associated product",2,3,D1706,0
Non-metallic mineral product,2,3,D1706,0
Metal product,2,3,D1706,0
Transport and industrial machinery & equipment,2,3,D1706,0
Other machinery & equipment,2,3,D1706,3
Other manufacturing,2,3,D1706,0
"Electricity, gas, water, & waste services",1,2,D1706,0
Construction,1,2,D1706,45
Wholesale trade,1,2,D1706,0
Machinery & equipment wholesaling,2,3,D1706,0
Other wholesale trade,2,3,D1706,0
Retail trade,1,2,D1706,0
Accommodation & food services,1,2,D1706,0
"Transport, postal, & warehousing",1,2,D1706,0
Information media & telecommunications,1,2,D1706,3
Publishing,2,3,D1706,3
Motion picture,2,3,D1706,0
Telecommunications,2,3,D1706,0
Financial & insurance services,1,2,D1706,0
Finance,2,3,D1706,0
Insurance,2,3,D1706,0
Auxiliary,2,3,D1706,0
"Rental, hiring, & real estate services",1,2,D1706,0
"Professional, scientific, & technical services",1,2,D1706,3
Computer systems design,2,3,D1706,3
Other professional scientific,2,3,D1706,0
Administrative & support services,1,2,D1706,0
Education & training,1,2,D1706,0
Health care & social assistance,1,2,D1706,0
Arts & recreation services,1,2,D1706,6
Other services,1,2,D1706,0
total,0,1,D1706,78
total,0,1,D1707,183
total,0,1,D1707,87
total,0,1,D1707,15
total,0,1,D1707,9
"Agriculture, forestry, & fishing",1,2,D1707,30
Agriculture,2,3,D1707,21
Commercial fishing,2,3,D1707,0
Forestry & logging,2,3,D1707,0
"Agriculture, forestry, & fishing support services",2,3,D1707,9
Mining,1,2,D1707,3
Manufacturing,1,2,D1707,36
"Food, beverage, & tobacco",2,3,D1707,21
"Textile, clothing, footwear, & leather",2,3,D1707,0
Wood & paper product,2,3,D1707,6
"Printing, publishing, & recorded media",2,3,D1707,0
"Petroleum, coal, chemical, & associated product",2,3,D1707,0
Non-metallic mineral product,2,3,D1707,6
Metal product,2,3,D1707,0
Transport and industrial machinery & equipment,2,3,D1707,3
Other machinery & equipment,2,3,D1707,3
Other manufacturing,2,3,D1707,0
"Electricity, gas, water, & waste services",1,2,D1707,0
Construction,1,2,D1707,129
Wholesale trade,1,2,D1707,3
Machinery & equipment wholesaling,2,3,D1707,0
Other wholesale trade,2,3,D1707,0
Retail trade,1,2,D1707,15
Accommodation & food services,1,2,D1707,3
"Transport, postal, & warehousing",1,2,D1707,12
Information media & telecommunications,1,2,D1707,0
Publishing,2,3,D1707,0
Motion picture,2,3,D1707,0
Telecommunications,2,3,D1707,0
Financial & insurance services,1,2,D1707,6
Finance,2,3,D1707,0
Insurance,2,3,D1707,3
Auxiliary,2,3,D1707,6
"Rental, hiring, & real estate services",1,2,D1707,21
"Professional, scientific, & technical services",1,2,D1707,3
Computer systems design,2,3,D1707,0
Other professional scientific,2,3,D1707,6
Administrative & support services,1,2,D1707,12
Education & training,1,2,D1707,15
Health care & social assistance,1,2,D1707,0
Arts & recreation services,1,2,D1707,3
Other services,1,2,D1707,0
total,0,1,D1707,297
total,0,1,D1708,207
total,0,1,D1708,36
total,0,1,D1708,9
total,0,1,D1708,9
"Agriculture, forestry, & fishing",1,2,D1708,54
Agriculture,2,3,D1708,45
Commercial fishing,2,3,D1708,0
Forestry & logging,2,3,D1708,3
"Agriculture, forestry, & fishing support services",2,3,D1708,9
Mining,1,2,D1708,0
Manufacturing,1,2,D1708,33
"Food, beverage, & tobacco",2,3,D1708,6
"Textile, clothing, footwear, & leather",2,3,D1708,0
Wood & paper product,2,3,D1708,9
"Printing, publishing, & recorded media",2,3,D1708,3
"Petroleum, coal, chemical, & associated product",2,3,D1708,9
Non-metallic mineral product,2,3,D1708,0
Metal product,2,3,D1708,0
Transport and industrial machinery & equipment,2,3,D1708,0
Other machinery & equipment,2,3,D1708,6
Other manufacturing,2,3,D1708,0
"Electricity, gas, water, & waste services",1,2,D1708,3
Construction,1,2,D1708,15
Wholesale trade,1,2,D1708,21
Machinery & equipment wholesaling,2,3,D1708,0
Other wholesale trade,2,3,D1708,18
Retail trade,1,2,D1708,3
Accommodation & food services,1,2,D1708,60
"Transport, postal, & warehousing",1,2,D1708,15
Information media & telecommunications,1,2,D1708,0
Publishing,2,3,D1708,0
Motion picture,2,3,D1708,0
Telecommunications,2,3,D1708,0
Financial & insurance services,1,2,D1708,0
Finance,2,3,D1708,0
Insurance,2,3,D1708,0
Auxiliary,2,3,D1708,0
"Rental, hiring, & real estate services",1,2,D1708,3
"Professional, scientific, & technical services",1,2,D1708,3
Computer systems design,2,3,D1708,0
Other professional scientific,2,3,D1708,3
Administrative & support services,1,2,D1708,21
Education & training,1,2,D1708,0
Health care & social assistance,1,2,D1708,12
Arts & recreation services,1,2,D1708,0
Other services,1,2,D1708,12
total,0,1,D1708,261
total,0,1,D1801,351
total,0,1,D1801,93
total,0,1,D1801,9
total,0,1,D1801,9
"Agriculture, forestry, & fishing",1,2,D1801,36
Agriculture,2,3,D1801,27
Commercial fishing,2,3,D1801,0
Forestry & logging,2,3,D1801,0
"Agriculture, forestry, & fishing support services",2,3,D1801,9
Mining,1,2,D1801,3
Manufacturing,1,2,D1801,69
"Food, beverage, & tobacco",2,3,D1801,30
"Textile, clothing, footwear, & leather",2,3,D1801,6
Wood & paper product,2,3,D1801,15
"Printing, publishing, & recorded media",2,3,D1801,3
"Petroleum, coal, chemical, & associated product",2,3,D1801,0
Non-metallic mineral product,2,3,D1801,3
Metal product,2,3,D1801,3
Transport and industrial machinery & equipment,2,3,D1801,3
Other machinery & equipment,2,3,D1801,3
Other manufacturing,2,3,D1801,3
"Electricity, gas, water, & waste services",1,2,D1801,0
Construction,1,2,D1801,102
Wholesale trade,1,2,D1801,0
Machinery & equipment wholesaling,2,3,D1801,0
Other wholesale trade,2,3,D1801,0
Retail trade,1,2,D1801,24
Accommodation & food services,1,2,D1801,126
"Transport, postal, & warehousing",1,2,D1801,12
Information media & telecommunications,1,2,D1801,6
Publishing,2,3,D1801,3
Motion picture,2,3,D1801,0
Telecommunications,2,3,D1801,0
Financial & insurance services,1,2,D1801,0
Finance,2,3,D1801,0
Insurance,2,3,D1801,0
Auxiliary,2,3,D1801,0
"Rental, hiring, & real estate services",1,2,D1801,21
"Professional, scientific, & technical services",1,2,D1801,0
Computer systems design,2,3,D1801,0
Other professional scientific,2,3,D1801,0
Administrative & support services,1,2,D1801,9
Education & training,1,2,D1801,18
Health care & social assistance,1,2,D1801,12
Arts & recreation services,1,2,D1801,0
Other services,1,2,D1801,12
total,0,1,D1801,462
total,0,1,D1802,273
total,0,1,D1802,30
total,0,1,D1802,3
total,0,1,D1802,3
"Agriculture, forestry, & fishing",1,2,D1802,9
Agriculture,2,3,D1802,0
Commercial fishing,2,3,D1802,0
Forestry & logging,2,3,D1802,3
"Agriculture, forestry, & fishing support services",2,3,D1802,9
Mining,1,2,D1802,3
Manufacturing,1,2,D1802,18
"Food, beverage, & tobacco",2,3,D1802,9
"Textile, clothing, footwear, & leather",2,3,D1802,3
Wood & paper product,2,3,D1802,0
"Printing, publishing, & recorded media",2,3,D1802,3
"Petroleum, coal, chemical, & associated product",2,3,D1802,0
Non-metallic mineral product,2,3,D1802,0
Metal product,2,3,D1802,3
Transport and industrial machinery & equipment,2,3,D1802,0
Other machinery & equipment,2,3,D1802,0
Other manufacturing,2,3,D1802,0
"Electricity, gas, water, & waste services",1,2,D1802,0
Construction,1,2,D1802,90
Wholesale trade,1,2,D1802,21
Machinery & equipment wholesaling,2,3,D1802,0
Other wholesale trade,2,3,D1802,18
Retail trade,1,2,D1802,24
Accommodation & food services,1,2,D1802,114
"Transport, postal, & warehousing",1,2,D1802,18
Information media & telecommunications,1,2,D1802,3
Publishing,2,3,D1802,3
Motion picture,2,3,D1802,0
Telecommunications,2,3,D1802,0
Financial & insurance services,1,2,D1802,0
Finance,2,3,D1802,0
Insurance,2,3,D1802,0
Auxiliary,2,3,D1802,0
"Rental, hiring, & real estate services",1,2,D1802,0
"Professional, scientific, & technical services",1,2,D1802,0
Computer systems design,2,3,D1802,3
Other professional scientific,2,3,D1802,0
Administrative & support services,1,2,D1802,6
Education & training,1,2,D1802,0
Health care & social assistance,1,2,D1802,0
Arts & recreation services,1,2,D1802,0
Other services,1,2,D1802,0
total,0,1,D1802,312
total,0,1,D1803,99
total,0,1,D1803,12
total,0,1,D1803,0
total,0,1,D1803,0
"Agriculture, forestry, & fishing",1,2,D1803,6
Agriculture,2,3,D1803,0
Commercial fishing,2,3,D1803,0
Forestry & logging,2,3,D1803,0
"Agriculture, forestry, & fishing support services",2,3,D1803,9
Mining,1,2,D1803,3
Manufacturing,1,2,D1803,21
"Food, beverage, & tobacco",2,3,D1803,9
"Textile, clothing, footwear, & leather",2,3,D1803,0
Wood & paper product,2,3,D1803,0
"Printing, publishing, & recorded media",2,3,D1803,0
"Petroleum, coal, chemical, & associated product",2,3,D1803,0
Non-metallic mineral product,2,3,D1803,3
Metal product,2,3,D1803,3
Transport and industrial machinery & equipment,2,3,D1803,3
Other machinery & equipment,2,3,D1803,3
Other manufacturing,2,3,D1803,0
"Electricity, gas, water, & waste services",1,2,D1803,0
Construction,1,2,D1803,0
Wholesale trade,1,2,D1803,0
Machinery & equipment wholesaling,2,3,D1803,0
Other wholesale trade,2,3,D1803,0
Retail trade,1,2,D1803,0
Accommodation & food services,1,2,D1803,57
"Transport, postal, & warehousing",1,2,D1803,18
Information media & telecommunications,1,2,D1803,3
Publishing,2,3,D1803,0
Motion picture,2,3,D1803,3
Telecommunications,2,3,D1803,0
Financial & insurance services,1,2,D1803,0
Finance,2,3,D1803,0
Insurance,2,3,D1803,0
Auxiliary,2,3,D1803,0
"Rental, hiring, & real estate services",1,2,D1803,0
"Professional, scientific, & technical services",1,2,D1803,0
Computer systems design,2,3,D1803,0
Other professional scientific,2,3,D1803,0
Administrative & support services,1,2,D1803,3
Education & training,1,2,D1803,0
Health care & social assistance,1,2,D1803,0
Arts & recreation services,1,2,D1803,0
Other services,1,2,D1803,0
total,0,1,D1803,114
total,0,1,D1804,60
total,0,1,D1804,39
total,0,1,D1804,0
total,0,1,D1804,3
"Agriculture, forestry, & fishing",1,2,D1804,6
Agriculture,2,3,D1804,0
Commercial fishing,2,3,D1804,0
Forestry & logging,2,3,D1804,0
"Agriculture, forestry, & fishing support services",2,3,D1804,9
Mining,1,2,D1804,3
Manufacturing,1,2,D1804,27
"Food, beverage, & tobacco",2,3,D1804,9
"Textile, clothing, footwear, & leather",2,3,D1804,3
Wood & paper product,2,3,D1804,0
"Printing, publishing, & recorded media",2,3,D1804,3
"Petroleum, coal, chemical, & associated product",2,3,D1804,0
Non-metallic mineral product,2,3,D1804,3
Metal product,2,3,D1804,9
Transport and industrial machinery & equipment,2,3,D1804,0
Other machinery & equipment,2,3,D1804,0
Other manufacturing,2,3,D1804,0
"Electricity, gas, water, & waste services",1,2,D1804,3
Construction,1,2,D1804,0
Wholesale trade,1,2,D1804,21
Machinery & equipment wholesaling,2,3,D1804,0
Other wholesale trade,2,3,D1804,18
Retail trade,1,2,D1804,0
Accommodation & food services,1,2,D1804,21
"Transport, postal, & warehousing",1,2,D1804,9
Information media & telecommunications,1,2,D1804,0
Publishing,2,3,D1804,0
Motion picture,2,3,D1804,0
Telecommunications,2,3,D1804,0
Financial & insurance services,1,2,D1804,0
Finance,2,3,D1804,0
Insurance,2,3,D1804,0
Auxiliary,2,3,D1804,0
"Rental, hiring, & real estate services",1,2,D1804,12
"Professional, scientific, & technical services",1,2,D1804,0
Computer systems design,2,3,D1804,0
Other professional scientific,2,3,D1804,0
Administrative & support services,1,2,D1804,0
Education & training,1,2,D1804,0
Health care & social assistance,1,2,D1804,0
Arts & recreation services,1,2,D1804,0
Other services,1,2,D1804,0
total,0,1,D1804,102
total,0,1,D1805,183
total,0,1,D1805,24
total,0,1,D1805,3
total,0,1,D1805,0
"Agriculture, forestry, & fishing",1,2,D1805,21
Agriculture,2,3,D1805,6
Commercial fishing,2,3,D1805,0
Forestry & logging,2,3,D1805,0
"Agriculture, forestry, & fishing support services",2,3,D1805,15
Mining,1,2,D1805,3
Manufacturing,1,2,D1805,24
"Food, beverage, & tobacco",2,3,D1805,9
"Textile, clothing, footwear, & leather",2,3,D1805,0
Wood & paper product,2,3,D1805,0
"Printing, publishing, & recorded media",2,3,D1805,3
"Petroleum, coal, chemical, & associated product",2,3,D1805,0
Non-metallic mineral product,2,3,D1805,0
Metal product,2,3,D1805,3
Transport and industrial machinery & equipment,2,3,D1805,0
Other machinery & equipment,2,3,D1805,3
Other manufacturing,2,3,D1805,3
"Electricity, gas, water, & waste services",1,2,D1805,0
Construction,1,2,D1805,45
Wholesale trade,1,2,D1805,42
Machinery & equipment wholesaling,2,3,D1805,0
Other wholesale trade,2,3,D1805,39
Retail trade,1,2,D1805,12
Accommodation & food services,1,2,D1805,57
"Transport, postal, & warehousing",1,2,D1805,0
Information media & telecommunications,1,2,D1805,3
Publishing,2,3,D1805,0
Motion picture,2,3,D1805,3
Telecommunications,2,3,D1805,0
Financial & insurance services,1,2,D1805,0
Finance,2,3,D1805,0
Insurance,2,3,D1805,0
Auxiliary,2,3,D1805,0
"Rental, hiring, & real estate services",1,2,D1805,0
"Professional, scientific, & technical services",1,2,D1805,0
Computer systems design,2,3,D1805,0
Other professional scientific,2,3,D1805,0
Administrative & support services,1,2,D1805,0
Education & training,1,2,D1805,3
Health care & social assistance,1,2,D1805,0
Arts & recreation services,1,2,D1805,0
Other services,1,2,D1805,0
total,0,1,D1805,213
total,0,1,D1806,216
total,0,1,D1806,12
total,0,1,D1806,3
total,0,1,D1806,0
"Agriculture, forestry, & fishing",1,2,D1806,6
Agriculture,2,3,D1806,0
Commercial fishing,2,3,D1806,0
Forestry & logging,2,3,D1806,0
"Agriculture, forestry, & fishing support services",2,3,D1806,9
Mining,1,2,D1806,3
Manufacturing,1,2,D1806,21
"Food, beverage, & tobacco",2,3,D1806,21
"Textile, clothing, footwear, & leather",2,3,D1806,3
Wood & paper product,2,3,D1806,0
"Printing, publishing, & recorded media",2,3,D1806,0
"Petroleum, coal, chemical, & associated product",2,3,D1806,0
Non-metallic mineral product,2,3,D1806,0
Metal product,2,3,D1806,0
Transport and industrial machinery & equipment,2,3,D1806,0
Other machinery & equipment,2,3,D1806,0
Other manufacturing,2,3,D1806,0
"Electricity, gas, water, & waste services",1,2,D1806,0
Construction,1,2,D1806,0
Wholesale trade,1,2,D1806,21
Machinery & equipment wholesaling,2,3,D1806,0
Other wholesale trade,2,3,D1806,18
Retail trade,1,2,D1806,0
Accommodation & food services,1,2,D1806,126
"Transport, postal, & warehousing",1,2,D1806,18
Information media & telecommunications,1,2,D1806,3
Publishing,2,3,D1806,3
Motion picture,2,3,D1806,0
Telecommunications,2,3,D1806,0
Financial & insurance services,1,2,D1806,0
Finance,2,3,D1806,0
Insurance,2,3,D1806,0
Auxiliary,2,3,D1806,0
"Rental, hiring, & real estate services",1,2,D1806,12
"Professional, scientific, & technical services",1,2,D1806,0
Computer systems design,2,3,D1806,0
Other professional scientific,2,3,D1806,0
Administrative & support services,1,2,D1806,3
Education & training,1,2,D1806,0
Health care & social assistance,1,2,D1806,12
Arts & recreation services,1,2,D1806,0
Other services,1,2,D1806,0
total,0,1,D1806,231
total,0,1,D1807,237
total,0,1,D1807,57
total,0,1,D1807,15
total,0,1,D1807,9
"Agriculture, forestry, & fishing",1,2,D1807,39
Agriculture,2,3,D1807,21
Commercial fishing,2,3,D1807,0
Forestry & logging,2,3,D1807,3
"Agriculture, forestry, & fishing support services",2,3,D1807,15
Mining,1,2,D1807,0
Manufacturing,1,2,D1807,51
"Food, beverage, & tobacco",2,3,D1807,21
"Textile, clothing, footwear, & leather",2,3,D1807,3
Wood & paper product,2,3,D1807,15
"Printing, publishing, & recorded media",2,3,D1807,0
"Petroleum, coal, chemical, & associated product",2,3,D1807,0
Non-metallic mineral product,2,3,D1807,0
Metal product,2,3,D1807,3
Transport and industrial machinery & equipment,2,3,D1807,3
Other machinery & equipment,2,3,D1807,3
Other manufacturing,2,3,D1807,3
"Electricity, gas, water, & waste services",1,2,D1807,3
Construction,1,2,D1807,150
Wholesale trade,1,2,D1807,0
Machinery & equipment wholesaling,2,3,D1807,0
Other wholesale trade,2,3,D1807,0
Retail trade,1,2,D1807,0
Accommodation & food services,1,2,D1807,27
"Transport, postal, & warehousing",1,2,D1807,3
Information media & telecommunications,1,2,D1807,3
Publishing,2,3,D1807,0
Motion picture,2,3,D1807,0
Telecommunications,2,3,D1807,0
Financial & insurance services,1,2,D1807,0
Finance,2,3,D1807,0
Insurance,2,3,D1807,0
Auxiliary,2,3,D1807,0
"Rental, hiring, & real estate services",1,2,D1807,12
"Professional, scientific, & technical services",1,2,D1807,6
Computer systems design,2,3,D1807,6
Other professional scientific,2,3,D1807,3
Administrative & support services,1,2,D1807,0
Education & training,1,2,D1807,3
Health care & social assistance,1,2,D1807,0
Arts & recreation services,1,2,D1807,0
Other services,1,2,D1807,12
total,0,1,D1807,315
total,0,1,D1808,258
total,0,1,D1808,63
total,0,1,D1808,18
total,0,1,D1808,15
"Agriculture, forestry, & fishing",1,2,D1808,48
Agriculture,2,3,D1808,24
Commercial fishing,2,3,D1808,0
Forestry & logging,2,3,D1808,3
"Agriculture, forestry, & fishing support services",2,3,D1808,21
Mining,1,2,D1808,0
Manufacturing,1,2,D1808,72
"Food, beverage, & tobacco",2,3,D1808,12
"Textile, clothing, footwear, & leather",2,3,D1808,0
Wood & paper product,2,3,D1808,12
"Printing, publishing, & recorded media",2,3,D1808,0
"Petroleum, coal, chemical, & associated product",2,3,D1808,9
Non-metallic mineral product,2,3,D1808,6
Metal product,2,3,D1808,30
Transport and industrial machinery & equipment,2,3,D1808,0
Other machinery & equipment,2,3,D1808,3
Other manufacturing,2,3,D1808,0
"Electricity, gas, water, & waste services",1,2,D1808,3
Construction,1,2,D1808,27
Wholesale trade,1,2,D1808,21
Machinery & equipment wholesaling,2,3,D1808,0
Other wholesale trade,2,3,D1808,21
Retail trade,1,2,D1808,9
Accommodation & food services,1,2,D1808,57
"Transport, postal, & warehousing",1,2,D1808,15
Information media & telecommunications,1,2,D1808,3
Publishing,2,3,D1808,0
Motion picture,2,3,D1808,0
Telecommunications,2,3,D1808,0
Financial & insurance services,1,2,D1808,12
Finance,2,3,D1808,3
Insurance,2,3,D1808,3
Auxiliary,2,3,D1808,9
"Rental, hiring, & real estate services",1,2,D1808,6
"Professional, scientific, & technical services",1,2,D1808,3
Computer systems design,2,3,D1808,0
Other professional scientific,2,3,D1808,6
Administrative & support services,1,2,D1808,39
Education & training,1,2,D1808,0
Health care & social assistance,1,2,D1808,15
Arts & recreation services,1,2,D1808,3
Other services,1,2,D1808,12
total,0,1,D1808,351
total,0,1,D1900.01,936
total,0,1,D1900.01,228
total,0,1,D1900.01,75
total,0,1,D1900.01,69
"Agriculture, forestry, & fishing",1,2,D1900.01,111
Agriculture,2,3,D1900.01,33
Commercial fishing,2,3,D1900.01,3
Forestry & logging,2,3,D1900.01,12
"Agriculture, forestry, & fishing support services",2,3,D1900.01,60
Mining,1,2,D1900.01,0
Manufacturing,1,2,D1900.01,129
"Food, beverage, & tobacco",2,3,D1900.01,27
"Textile, clothing, footwear, & leather",2,3,D1900.01,12
Wood & paper product,2,3,D1900.01,3
"Printing, publishing, & recorded media",2,3,D1900.01,6
"Petroleum, coal, chemical, & associated product",2,3,D1900.01,15
Non-metallic mineral product,2,3,D1900.01,3
Metal product,2,3,D1900.01,18
Transport and industrial machinery & equipment,2,3,D1900.01,33
Other machinery & equipment,2,3,D1900.01,3
Other manufacturing,2,3,D1900.01,9
"Electricity, gas, water, & waste services",1,2,D1900.01,3
Construction,1,2,D1900.01,243
Wholesale trade,1,2,D1900.01,126
Machinery & equipment wholesaling,2,3,D1900.01,12
Other wholesale trade,2,3,D1900.01,111
Retail trade,1,2,D1900.01,51
Accommodation & food services,1,2,D1900.01,189
"Transport, postal, & warehousing",1,2,D1900.01,75
Information media & telecommunications,1,2,D1900.01,12
Publishing,2,3,D1900.01,3
Motion picture,2,3,D1900.01,3
Telecommunications,2,3,D1900.01,3
Financial & insurance services,1,2,D1900.01,9
Finance,2,3,D1900.01,0
Insurance,2,3,D1900.01,0
Auxiliary,2,3,D1900.01,9
"Rental, hiring, & real estate services",1,2,D1900.01,93
"Professional, scientific, & technical services",1,2,D1900.01,108
Computer systems design,2,3,D1900.01,27
Other professional scientific,2,3,D1900.01,84
Administrative & support services,1,2,D1900.01,27
Education & training,1,2,D1900.01,12
Health care & social assistance,1,2,D1900.01,87
Arts & recreation services,1,2,D1900.01,0
Other services,1,2,D1900.01,30
total,0,1,D1900.01,1308
total,0,1,D1900.02,6252
total,0,1,D1900.02,2133
total,0,1,D1900.02,600
total,0,1,D1900.02,483
"Agriculture, forestry, & fishing",1,2,D1900.02,1239
Agriculture,2,3,D1900.02,870
Commercial fishing,2,3,D1900.02,15
Forestry & logging,2,3,D1900.02,102
"Agriculture, forestry, & fishing support services",2,3,D1900.02,255
Mining,1,2,D1900.02,24
Manufacturing,1,2,D1900.02,1251
"Food, beverage, & tobacco",2,3,D1900.02,312
"Textile, clothing, footwear, & leather",2,3,D1900.02,72
Wood & paper product,2,3,D1900.02,174
"Printing, publishing, & recorded media",2,3,D1900.02,54
"Petroleum, coal, chemical, & associated product",2,3,D1900.02,90
Non-metallic mineral product,2,3,D1900.02,57
Metal product,2,3,D1900.02,240
Transport and industrial machinery & equipment,2,3,D1900.02,147
Other machinery & equipment,2,3,D1900.02,42
Other manufacturing,2,3,D1900.02,63
"Electricity, gas, water, & waste services",1,2,D1900.02,54
Construction,1,2,D1900.02,1557
Wholesale trade,1,2,D1900.02,618
Machinery & equipment wholesaling,2,3,D1900.02,144
Other wholesale trade,2,3,D1900.02,474
Retail trade,1,2,D1900.02,702
Accommodation & food services,1,2,D1900.02,1182
"Transport, postal, & warehousing",1,2,D1900.02,495
Information media & telecommunications,1,2,D1900.02,72
Publishing,2,3,D1900.02,24
Motion picture,2,3,D1900.02,18
Telecommunications,2,3,D1900.02,30
Financial & insurance services,1,2,D1900.02,90
Finance,2,3,D1900.02,54
Insurance,2,3,D1900.02,3
Auxiliary,2,3,D1900.02,39
"Rental, hiring, & real estate services",1,2,D1900.02,297
"Professional, scientific, & technical services",1,2,D1900.02,672
Computer systems design,2,3,D1900.02,108
Other professional scientific,2,3,D1900.02,567
Administrative & support services,1,2,D1900.02,309
Education & training,1,2,D1900.02,153
Health care & social assistance,1,2,D1900.02,393
Arts & recreation services,1,2,D1900.02,75
Other services,1,2,D1900.02,273
total,0,1,D1900.02,9465
total,0,1,D1900.03,1257
total,0,1,D1900.03,246
total,0,1,D1900.03,63
total,0,1,D1900.03,33
"Agriculture, forestry, & fishing",1,2,D1900.03,204
Agriculture,2,3,D1900.03,105
Commercial fishing,2,3,D1900.03,3
Forestry & logging,2,3,D1900.03,33
"Agriculture, forestry, & fishing support services",2,3,D1900.03,63
Mining,1,2,D1900.03,3
Manufacturing,1,2,D1900.03,201
"Food, beverage, & tobacco",2,3,D1900.03,36
"Textile, clothing, footwear, & leather",2,3,D1900.03,9
Wood & paper product,2,3,D1900.03,21
"Printing, publishing, & recorded media",2,3,D1900.03,15
"Petroleum, coal, chemical, & associated product",2,3,D1900.03,18
Non-metallic mineral product,2,3,D1900.03,6
Metal product,2,3,D1900.03,21
Transport and industrial machinery & equipment,2,3,D1900.03,60
Other machinery & equipment,2,3,D1900.03,6
Other manufacturing,2,3,D1900.03,9
"Electricity, gas, water, & waste services",1,2,D1900.03,6
Construction,1,2,D1900.03,243
Wholesale trade,1,2,D1900.03,48
Machinery & equipment wholesaling,2,3,D1900.03,12
Other wholesale trade,2,3,D1900.03,33
Retail trade,1,2,D1900.03,75
Accommodation & food services,1,2,D1900.03,321
"Transport, postal, & warehousing",1,2,D1900.03,96
Information media & telecommunications,1,2,D1900.03,15
Publishing,2,3,D1900.03,6
Motion picture,2,3,D1900.03,3
Telecommunications,2,3,D1900.03,3
Financial & insurance services,1,2,D1900.03,15
Finance,2,3,D1900.03,3
Insurance,2,3,D1900.03,0
Auxiliary,2,3,D1900.03,15
"Rental, hiring, & real estate services",1,2,D1900.03,18
"Professional, scientific, & technical services",1,2,D1900.03,78
Computer systems design,2,3,D1900.03,21
Other professional scientific,2,3,D1900.03,57
Administrative & support services,1,2,D1900.03,57
Education & training,1,2,D1900.03,24
Health care & social assistance,1,2,D1900.03,96
Arts & recreation services,1,2,D1900.03,21
Other services,1,2,D1900.03,75
total,0,1,D1900.03,1605
total,0,1,D2000.01,1536
total,0,1,D2000.01,507
total,0,1,D2000.01,126
total,0,1,D2000.01,87
"Agriculture, forestry, & fishing",1,2,D2000.01,357
Agriculture,2,3,D2000.01,225
Commercial fishing,2,3,D2000.01,3
Forestry & logging,2,3,D2000.01,36
"Agriculture, forestry, & fishing support services",2,3,D2000.01,96
Mining,1,2,D2000.01,6
Manufacturing,1,2,D2000.01,225
"Food, beverage, & tobacco",2,3,D2000.01,60
